trial_id,sponsor_id,trialName,indication,phase,status,start_date,end_date
tr_0001,sp_001,According-214,Non-Small Cell Lung Cancer,Phase III,active,2025-10-29,2028-02-10
tr_0002,sp_001,Collection-242,Rheumatoid Arthritis,Phase I,suspended,2025-09-03,2026-10-16
tr_0003,sp_001,Grow-130,Type 2 Diabetes,Phase II,active,2025-06-29,2026-01-27
tr_0004,sp_001,Dinner-716,Non-Small Cell Lung Cancer,Phase II,suspended,2024-03-26,2026-02-21
tr_0005,sp_001,Great-559,NASH,Phase III,recruiting,2026-04-09,2027-05-19
tr_0006,sp_001,Husband-925,Major Depressive Disorder,Phase IV,completed,2023-09-15,2026-04-29
tr_0007,sp_001,Throw-259,Alzheimer's Disease,Phase III,recruiting,2023-09-09,2024-12-16
tr_0008,sp_001,Everything-489,Rheumatoid Arthritis,Phase III,completed,2024-06-06,2025-03-07
tr_0009,sp_001,Show-370,Breast Cancer,Phase IV,recruiting,2025-10-26,2028-01-02
tr_0010,sp_001,Capital-180,Migraine,Phase III,completed,2024-10-11,2026-05-01
tr_0011,sp_002,Human-296,Type 2 Diabetes,Phase I,active,2026-04-26,2028-06-05
tr_0012,sp_002,Finally-396,Type 2 Diabetes,Phase II,recruiting,2023-08-21,2026-04-18
tr_0013,sp_002,Present-384,Heart Failure,Phase III,active,2025-11-20,2027-06-12
tr_0014,sp_002,High-463,Alzheimer's Disease,Phase III,recruiting,2026-01-20,2027-08-02
tr_0015,sp_002,Sea-750,Major Depressive Disorder,Phase II,active,2025-02-17,2027-05-01
tr_0016,sp_002,Recently-488,Crohn's Disease,Phase II,completed,2023-08-11,2025-05-25
tr_0017,sp_002,Figure-886,Breast Cancer,Phase II,recruiting,2024-01-31,2026-12-09
tr_0018,sp_002,Top-423,Prostate Cancer,Phase III,recruiting,2026-05-09,2029-02-06
tr_0019,sp_002,Blood-680,Idiopathic Pulmonary Fibrosis,Phase II,suspended,2024-02-05,2025-03-07
tr_0020,sp_002,Long-758,Heart Failure,Phase II,completed,2024-07-16,2026-02-21
tr_0021,sp_002,His-352,Migraine,Phase III,suspended,2025-04-22,2026-03-10
tr_0022,sp_002,Hear-508,Hepatitis B,Phase II,active,2023-11-21,2026-01-06
tr_0023,sp_002,Example-605,Type 2 Diabetes,Phase I,recruiting,2024-01-11,2025-12-12
tr_0024,sp_003,Result-742,Major Depressive Disorder,Phase IV,recruiting,2025-07-03,2026-06-04
tr_0025,sp_003,Politics-490,Psoriasis,Phase IV,completed,2025-05-05,2026-11-30
tr_0026,sp_003,None-981,Non-Small Cell Lung Cancer,Phase I,completed,2025-04-21,2027-05-07
tr_0027,sp_003,Common-756,Idiopathic Pulmonary Fibrosis,Phase I,completed,2025-08-02,2028-03-26
tr_0028,sp_003,Expect-261,Heart Failure,Phase I,completed,2024-10-14,2026-07-01
tr_0029,sp_003,Push-880,Major Depressive Disorder,Phase I,completed,2026-05-14,2028-04-05
tr_0030,sp_003,Discuss-754,Obesity,Phase II,active,2025-06-18,2028-04-24
tr_0031,sp_003,Threat-880,Major Depressive Disorder,Phase I,completed,2025-06-14,2026-12-28
tr_0032,sp_003,Arrive-119,Rheumatoid Arthritis,Phase III,completed,2025-09-14,2027-07-26
tr_0033,sp_003,Almost-159,Atopic Dermatitis,Phase I,recruiting,2024-02-01,2025-04-01
tr_0034,sp_003,Institution-597,Type 2 Diabetes,Phase II,active,2025-10-24,2028-05-10
tr_0035,sp_004,Development-586,Migraine,Phase II,completed,2024-03-15,2026-07-18
tr_0036,sp_004,Our-993,Psoriasis,Phase IV,active,2026-02-19,2028-02-09
tr_0037,sp_004,Forward-873,Alzheimer's Disease,Phase III,suspended,2026-01-10,2028-01-12
tr_0038,sp_004,Money-765,Hepatitis B,Phase IV,suspended,2024-01-14,2026-05-30
tr_0039,sp_004,Who-353,Atopic Dermatitis,Phase I,completed,2024-08-02,2025-06-01
